*********************************************************************************
Sensor Log file is generated using GNSS/IMU Logger (Version v1.0.0.0)
Sensor Flag- 1 : Accelerometer [m/s2]  2: Gyroscope [rad/s]  3: Magnetometer [μT]
UNIX Epoch timestamp,sensor Flag,x-axis,y-axis,z-axis
1603504341765,2,0.029800415,-0.035827637,-0.0029144287 
1603504341767,1,0.33738708,1.1629181,9.805786 
1603504341767,2,0.03225708,-0.034622192,-0.004119873 
1603504341769,1,0.34695435,1.1581268,9.793823 
1603504341769,2,0.03715515,-0.034622192,-0.0065612793 
1603504341771,1,0.35891724,1.1652985,9.784256 
1603504341771,2,0.040802002,-0.0370636,-0.0065612793 
1603504341774,1,0.35891724,1.1246338,9.779465 
1603504341773,2,0.042037964,-0.038269043,-0.0065612793 
1603504341777,1,0.37806702,1.1126556,9.796219 
1603504341776,2,0.045684814,-0.038269043,-0.0065612793 
1603504341778,1,0.39959717,1.1126556,9.784256 
1603504341779,2,0.045684814,-0.038269043,-0.007797241 
1603504341777,3,-15.608978,14.221191,67.331314 
1603504341781,1,0.42352295,1.1030884,9.789032 
1603504341781,2,0.04812622,-0.038269043,-0.007797241 
1603504341783,1,0.45703125,1.0959167,9.769897 
1603504341783,2,0.046920776,-0.0370636,-0.009002686 
1603504341785,1,0.45463562,1.105484,9.765106 
1603504341786,2,0.046920776,-0.03338623,-0.011459351 
1603504341788,1,0.4665985,1.1006927,9.729218 
1603504341788,2,0.045684814,-0.032165527,-0.013900757 
1603504341790,1,0.44984436,1.1078796,9.698105 
1603504341791,2,0.042037964,-0.03338623,-0.018798828 
1603504341792,1,0.44506836,1.105484,9.676575 
1603504341793,2,0.042037964,-0.032165527,-0.021240234 
1603504341795,1,0.4283142,1.0839539,9.674179 
1603504341795,2,0.03591919,-0.032165527,-0.022445679 
1603504341797,1,0.42352295,1.1078796,9.669403 
1603504341797,2,0.031036377,-0.032165527,-0.027328491 
1603504341800,1,0.42114258,1.0959167,9.664612 
1603504341799,2,0.039596558,-0.030944824,-0.026123047 
1603504341797,3,-15.955734,14.048004,67.16232 
1603504341802,1,0.42591858,1.105484,9.681366 
1603504341802,2,0.029800415,-0.030944824,-0.029769897 
1603504341805,1,0.39959717,1.1294098,9.717255 
1603504341805,2,0.03225708,-0.032165527,-0.028564453 
1603504341807,1,0.37088013,1.1485596,9.722046 
1603504341806,2,0.03225708,-0.029724121,-0.032226562 
1603504341809,1,0.37327576,1.1629181,9.71965 
1603504341809,2,0.03225708,-0.030944824,-0.032226562 
1603504341812,1,0.37088013,1.1605225,9.722046 
1603504341811,2,0.026153564,-0.029724121,-0.032226562 
1603504341813,1,0.37088013,1.138977,9.743576 
1603504341813,2,0.03715515,-0.030944824,-0.029769897 
1603504341816,1,0.36610413,1.1437683,9.736389 
1603504341816,2,0.033477783,-0.029724121,-0.033447266 
1603504341818,1,0.36131287,1.138977,9.734009 
1603504341818,2,0.031036377,-0.0370636,-0.033447266 
1603504341816,3,-16.302872,13.701248,67.33093 
1603504341821,1,0.35653687,1.1413727,9.714859 
1603504341820,2,0.033477783,-0.0370636,-0.03100586 
1603504341823,1,0.3637085,1.146164,9.702896 
1603504341823,2,0.033477783,-0.038269043,-0.029769897 
1603504341825,1,0.35653687,1.146164,9.683746 
